RegionName,State,Metro,CountyName,2010,2011,2012,2013,2014,2015,2016,2017,2018
North Lauderdale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1115.5,1196.7,1253.8,1284.8,1311.5,1360.8,1435.9,1475.9,1474.8
North Miami Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1451.5,1524.6,1581.6,1649.8,1733.1,1844.5,1918.3,1874.1,1869.1
Kendall West,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1454.5,1509.2,1590.3,1645.6,1687.5,1732.3,1759.5,1779.1,1796.5
Hallandale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1285.5,1415.5,1503.1,1564.8,1593.5,1689.8,1745.3,1725.8,1719.3
Greenacres,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1207,1244.1,1291.6,1343.7,1405.6,1436.7,1468.8,1490,1486.7
Aventura,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1575.5,1646,1743.4,1891.3,2007.3,2085.5,2148.3,2097.4,2108.7
Lake Worth,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1155.5,1221.9,1259.1,1315.3,1415.9,1444.8,1484.3,1508.6,1488.5
South Miami Heights,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1241,1341.1,1392.6,1441.5,1504.3,1526.8,1588.4,1620.2,1649
Royal Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1335.5,1334.5,1352.4,1396.8,1465.1,1469.3,1508.3,1542.3,1542
Cooper City,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1299.5,1507.4,1609.8,1666.8,1676.3,1739.5,1851.4,1869,1865.8
Golden Glades,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1313.5,1376.5,1420.8,1479.4,1537.2,1573.1,1661.7,1641.6,1660
Riviera Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1784,1777.9,1732.3,1778.8,1839.9,1893.2,1956,1946.8,1931
Lauderdale Lakes,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,964,1031.6,1100.5,1119.9,1140.5,1196,1256.8,1290.7,1319.4
Richmond West,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1282.5,1417.8,1528.8,1607.4,1628.9,1672.3,1734.5,1754.9,1816.1
West Little River,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1418,1467.3,1492.8,1530.7,1606.5,1645.6,1707.8,1716.7,1726.3
Westchester,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1521,1552.2,1584,1637.7,1714.7,1771.2,1861.1,1925.6,1919.9
Dania Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1243,1347.4,1362.2,1406.6,1416.6,1504.1,1566.8,1578.2,1575.4
Miami Lakes,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1596.5,1605.8,1623.2,1687.1,1761.8,1810.3,1893.1,1905.8,1920.2
Parkland,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1604.5,1820.1,1917.3,1967.2,1941.1,2061,2154.5,2131.9,2092.8
Princeton,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1402.5,1397.6,1418.1,1481.4,1523,1588.4,1700.3,1718.5,1728.3
University Park,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1624,1637.5,1675.8,1749.2,1816.2,1857.3,1888.6,1894.4,1908.3
Village of Palmetto Bay,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1468.5,1559,1629.2,1735.3,1830,1882.8,1943.2,1906.1,1920.8
Leisure City,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1151.5,1161,1197.5,1237.8,1261.6,1328,1428.7,1454.4,1502.9
Coral Terrace,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1566,1644.9,1742.7,1795.3,1919.5,1969.3,2079.3,2065.6,2080.1
The Crossings,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1412.5,1519.6,1595.1,1652.2,1709.8,1770.7,1801.1,1799.3,1832.3
Hialeah Gardens,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1377.5,1363.4,1388.3,1441.8,1516.5,1573.3,1626.2,1622.5,1617.8
Ives Estates,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1567,1554.4,1584.6,1668.6,1793,1864.3,1892,1737.1,1772.1
Carol City,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1499.5,1548,1557.5,1600.5,1690.1,1751.3,1837.5,1818.7,1837.6
Belle Glade,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1441,1386.2,1366.6,1418.8,1610,1592.8,1649.2,1648.2,1690.1
Palm Springs,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1108,1158.3,1195.6,1234.6,1289.2,1315.5,1366.2,1378.9,1384.4
Lake Worth Corridor,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1148.5,1234.5,1272.1,1341.3,1420.9,1462,1496.4,1527.4,1499.7
Sunny Isles Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2030.5,2067.6,2182.2,2407.8,2563,2713.1,2749.5,2712.1,2622.3
Pinecrest,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2381,2262.6,2384.3,2505.2,2551.5,2648.7,2592.2,2561.2,2651.8
Ojus,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1470,1507.3,1573.7,1681.4,1763.4,1828.6,1897,1831.4,1852
Glenvar Heights,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1671.5,1676.2,1755.6,1836.1,1920.5,1989.3,2099.9,2071.3,2076.5
Sunset,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1719,1733.3,1779.3,1859.8,1933.7,1996.3,2030.2,2022.4,2053.4
Three Lakes,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1436.5,1544.2,1625.7,1706,1743.6,1780.7,1795.4,1802.3,1828.9
Palmetto Estates,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1429,1591.4,1649.4,1741.3,1834.8,1909.7,1935.2,1897.7,1902.7
Opa-locka,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1232,1305.6,1348.7,1378.3,1445.8,1509.9,1575.1,1571.3,1571.3
Pinewood,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1393.5,1446.6,1466.8,1516.4,1598.8,1637.3,1733.8,1706.8,1699.7
Olympia Heights,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1716.5,1843.5,1905.9,1993.8,2083.8,2107.8,2170.8,2100.7,2056.9
Brownsville,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1349.5,1387,1361.9,1393.6,1483.1,1555.8,1670.8,1681.5,1671.9
Miami Springs,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1561,1624.6,1644.1,1735.9,1798.3,1804,1903,1877.5,1824.3
West Park,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1155,1227,1256.9,1291.3,1324.6,1386.8,1437.1,1463.5,1484.8
Westview,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1508.5,1502.6,1533.7,1578.4,1658.7,1705.5,1789.9,1781.1,1768.6
North Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,2245,2039.2,1912.1,1968.8,2114.7,2284.3,2460.7,2487.8,2413.7
Southwest Ranches,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1718,1969.4,2002.6,2159.8,2149.3,2266.3,2399.3,2329.6,2365.2
Sweetwater,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1446,1502.6,1535.7,1582.3,1656.8,1719.7,1769.5,1754.8,1735.9
Gladeview,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1441.5,1473.6,1466.5,1503.2,1588.5,1619.8,1726.3,1716.5,1697
Florida City,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1110,1186.5,1218.1,1258.3,1329.8,1364.8,1454.8,1469.2,1487.8
Key Biscayne,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,3396,3429.9,3525.1,3672.9,4016.5,4275.8,4232.3,3993.4,4479.6
Miami Shores,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1685.5,1698.6,1747.2,1874,1995.5,2088.1,2174.2,2103.4,2149.4
South Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1546,1645.4,1716.1,1828.4,1953.1,2011,2098.8,2044.3,2034.7
Westwood Lake,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1649.5,1695.8,1784.8,1860.8,1938.8,2026.2,2032.8,2028.5,2029.2
Wilton Manors,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1205.5,1312.4,1410.9,1423.2,1454.6,1534.6,1677.9,1666.5,1638.6
Goulds,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1299.5,1356.5,1408.4,1460.4,1515.1,1568.8,1671.1,1672.6,1689.3
Lighthouse Point,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1586,1645.5,1666,1725,1819.8,1912.7,2025.7,2013.4,1945.8
Country Walk,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1615,1689.9,1757.9,1835.3,1900.3,1948.9,2033.1,2041.3,2089.8
Westgate-Belvedere Homes,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1057,1121.3,1175.6,1255.4,1327.5,1359.2,1406.4,1434.8,1420.3
Lantana,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1340.5,1364.9,1384,1417.7,1524,1560.8,1581.3,1615,1607.6
West Perrine,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1303,1363.8,1423.8,1483.3,1581.3,1614.9,1679.3,1676.3,1707.1
Tequesta,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,2092.5,1969.4,1924.3,2046.2,2139.8,2257,2310.7,2364,2397
Naranja,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1210.5,1240.6,1272.5,1316.5,1354.7,1380.6,1460.1,1485.2,1520.1
Richmond Heights,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1325.5,1419,1481.3,1540.2,1627,1707.5,1734.3,1748.6,1780.9
Lake Park,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1366,1397.2,1389.3,1423.9,1498.7,1514,1552.1,1589.3,1579.3
Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,4892,4339.1,3932.7,4259.2,4488.8,5094.2,5505.8,5499.3,5706.1
North Bay Village,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1446,1492,1571,1706.4,1800,1875.8,1964.6,1965.9,1957.9
